order,ell,s_Mpc_h,s2_measurement,s2_jackknife_sigma,s2_model
0.000000000000000000e+00,0.000000000000000000e+00,5.200000000000000000e+01,4.811181287826667585e+01,2.249848156393203347e+00,4.844153255855436413e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,4.040402506143711037e+01,2.711859602639326017e+00,3.942515340904900967e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.800000000000000000e+01,3.386598461880549138e+01,3.165185614134099712e+00,3.126359805490000809e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.600000000000000000e+01,2.404509976022802675e+01,3.667821295143385729e+00,2.388467470333083043e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.400000000000000000e+01,1.664572800334767066e+01,3.732994751405557476e+00,2.015931968405642749e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.200000000000000000e+01,2.302973976089027985e+01,4.206010138247636476e+00,2.538602662624216677e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,3.403161993176058076e+01,4.705518538796765959e+00,3.497683859301522347e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.080000000000000000e+02,2.932138911884514698e+01,4.917730799489763882e+00,3.134464424145246753e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.160000000000000000e+02,1.357001715086713389e+01,4.986371369742550463e+00,1.446807227425031606e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.240000000000000000e+02,-4.259593907656929801e+00,5.129804108250709760e+00,-2.300451934135849363e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.320000000000000000e+02,-1.994536334121355381e+01,6.221233247729434090e+00,-1.334489207884305095e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+02,-2.186308874604854680e+01,6.747433434821660470e+00,-2.000282939459339815e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.480000000000000000e+02,-2.149018137871064837e+01,7.201315169706471231e+00,-2.428955297461169138e+01
0.000000000000000000e+00,2.000000000000000000e+00,5.200000000000000000e+01,-7.928320279662345627e+01,3.857457363912575321e+00,-7.932046624110222410e+01
0.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+01,-7.377458082998899158e+01,4.957148853987657589e+00,-7.836373729862077653e+01
0.000000000000000000e+00,2.000000000000000000e+00,6.800000000000000000e+01,-7.463411443860404404e+01,5.521162175430953667e+00,-7.694223044926648925e+01
0.000000000000000000e+00,2.000000000000000000e+00,7.600000000000000000e+01,-7.342019536988370021e+01,6.111827225511541783e+00,-7.430553813004830488e+01
0.000000000000000000e+00,2.000000000000000000e+00,8.400000000000000000e+01,-6.618972451765608866e+01,7.688197341462728929e+00,-6.891164496595942524e+01
0.000000000000000000e+00,2.000000000000000000e+00,9.200000000000000000e+01,-6.170801745612782696e+01,9.223904574071122298e+00,-6.504343044620269154e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+02,-7.164108059057387834e+01,1.018271523570744996e+01,-6.927483631495491068e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.080000000000000000e+02,-7.190964163180619551e+01,1.188121268793934782e+01,-7.343841823303479543e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.160000000000000000e+02,-7.360095179934417331e+01,1.300648422856345299e+01,-7.191623034137015225e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.240000000000000000e+02,-7.785990968685729285e+01,1.414426476627219564e+01,-6.877100928017249259e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.320000000000000000e+02,-7.322518726858807270e+01,1.433718847932635043e+01,-6.586148395639045816e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.400000000000000000e+02,-5.376500086485395968e+01,1.648458599392694879e+01,-6.316553582173851566e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.480000000000000000e+02,-6.458583003123209210e+01,1.656020802945563020e+01,-6.064441907095936557e+01
1.000000000000000000e+00,0.000000000000000000e+00,5.200000000000000000e+01,-1.662904387767729020e+01,1.207036564683923352e+01,-1.934643296157605619e+01
1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,-1.657376353198158725e+01,1.415532977332459375e+01,-6.093558209766765543e+00
1.000000000000000000e+00,0.000000000000000000e+00,6.800000000000000000e+01,1.493128872130783158e+01,1.640808771797506438e+01,5.652287907439411896e+00
1.000000000000000000e+00,0.000000000000000000e+00,7.600000000000000000e+01,2.212858216930289146e+01,1.771050754875417610e+01,1.643428399799327622e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.400000000000000000e+01,2.579607312328528934e+01,2.096825591922766918e+01,2.814372976307528162e+01
1.000000000000000000e+00,0.000000000000000000e+00,9.200000000000000000e+01,4.965695532915638921e+01,2.424669651947271376e+01,4.037286344502673074e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,6.398893814123266566e+01,2.742841612693371189e+01,4.493765508494806937e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.080000000000000000e+02,3.468756897110561965e+01,3.143511904595190387e+01,4.015710302848995639e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.160000000000000000e+02,3.916220546937816493e+01,3.419944200167993387e+01,3.704283286132114483e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.240000000000000000e+02,6.227399325337866287e+01,3.420505409886926174e+01,3.823060716185880636e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.320000000000000000e+02,6.476805201939542656e+01,3.649237019033934359e+01,3.931002811148633214e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+02,7.086691171838461401e+01,4.129902484802136087e+01,3.799549772562993155e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.480000000000000000e+02,1.673889258898349652e+01,4.027097962647743401e+01,3.413001835932323047e+01
1.000000000000000000e+00,2.000000000000000000e+00,5.200000000000000000e+01,1.115456286786682583e+01,2.281610446152009786e+01,1.843934268066822924e+01
1.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+01,4.154463543156609262e+01,2.431754336797531124e+01,2.956076546903898361e+01
1.000000000000000000e+00,2.000000000000000000e+00,6.800000000000000000e+01,3.593143452631657908e+01,3.518390069476166815e+01,3.724873849486213118e+01
1.000000000000000000e+00,2.000000000000000000e+00,7.600000000000000000e+01,2.731049775828775950e+01,4.311690934375586437e+01,4.326015414247406454e+01
1.000000000000000000e+00,2.000000000000000000e+00,8.400000000000000000e+01,2.297672984944640717e+01,4.919903426108808020e+01,4.806904010899540935e+01
1.000000000000000000e+00,2.000000000000000000e+00,9.200000000000000000e+01,1.359515454513009836e+01,5.817210573541440510e+01,4.338262945477592325e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+02,-2.321490755288929009e+00,6.516969534684038479e+01,2.302029204025805598e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.080000000000000000e+02,2.704569603882602280e+01,7.217503086633107046e+01,4.648546099213731075e+00
1.000000000000000000e+00,2.000000000000000000e+00,1.160000000000000000e+02,-4.425744278633494133e+01,7.394628602575434684e+01,1.063031362892723208e-02
1.000000000000000000e+00,2.000000000000000000e+00,1.240000000000000000e+02,9.908005801154597947e+00,7.905393789888192657e+01,-6.904972244501099699e-01
1.000000000000000000e+00,2.000000000000000000e+00,1.320000000000000000e+02,1.894545130974387348e+01,8.878198540030945196e+01,-7.787539460980038797e+00
1.000000000000000000e+00,2.000000000000000000e+00,1.400000000000000000e+02,2.862270510129094703e+01,1.012807200794638050e+02,-2.301007411158040128e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.480000000000000000e+02,-2.370798279256037588e+01,1.045677347541406448e+02,-4.456084099934308540e+01
