model,quantity,median,p16,p84,p2p5,p97p5
kaiser_linear,DM_over_rd,18.102763288675405,17.76189114149933,18.450757922585407,17.406694276682487,18.79809157537307
kaiser_linear,DH_over_rd,20.037620354464053,19.419430288615686,20.6757681308366,18.790827822006154,21.367850196475537
kaiser_linear,dDM_over_rd_dz,19.30046222644477,16.958756077641493,21.550850772785303,14.120330359476391,24.22686767968167
kaiser_linear,dDH_over_rd_dz,-8.996527741433269,-13.410836939564067,-4.320786280540153,-19.06766729686388,1.440577392891407
kaiser_linear,d2DM_over_rd_dz2,-11.335608936127556,-16.124808801371348,-6.12627506513115,-21.140950136013675,1.0845618947452507
kaiser_linear,d2DH_over_rd_dz2,4.991785249683401,1.9525800592354723,9.859362416515662,0.9768525534526197,18.72300339006231
kaiser_quadratic,DM_over_rd,17.582097197312933,17.11710419592261,18.040652266594734,16.65616801174999,18.52543181876248
kaiser_quadratic,DH_over_rd,20.79611055728571,19.771116817975894,21.83759808101784,18.773663155297935,22.93970921085035
kaiser_quadratic,dDM_over_rd_dz,19.216994548343262,17.495962052641172,20.939498318785766,15.661441661685252,22.74591391015729
kaiser_quadratic,dDH_over_rd_dz,-10.546612806372671,-13.959322539804004,-7.228290895014122,-17.875539404743297,-3.9900700381070413
kaiser_quadratic,d2DM_over_rd_dz2,13.911376461851361,-5.670021638765729,32.98011551302419,-27.563166374352097,54.327669538295346
kaiser_quadratic,d2DH_over_rd_dz2,-29.922964199447392,-79.0928894873741,14.815099661323647,-131.2693783361397,57.457213139408324
linear,DM_over_rd,17.94907524973384,17.385788067343004,18.432396381778574,16.562522751815848,18.96735318774696
linear,DH_over_rd,20.356326821282767,19.338375659925262,21.50622432299498,17.779689962039598,22.944760201144643
linear,dDM_over_rd_dz,22.78972792821444,14.927076026641615,29.896063465059065,7.928328953923231,33.78936575040193
linear,dDH_over_rd_dz,-8.791059378879371,-25.423733348019667,3.745966714941843,-32.03248390275681,7.1758635000834134
linear,d2DM_over_rd_dz2,-2.566213639632889,-19.852818025584135,19.73190763818418,-29.244692959490465,33.31380845120452
linear,d2DH_over_rd_dz2,4.771823029656713,1.2817341426771525,32.67627590139191,0.9476113689726471,50.55423666035765
quadratic,DM_over_rd,17.366110491967692,16.878165506297705,17.94204660469453,16.427328681220832,18.691806972957693
quadratic,DH_over_rd,21.556066887216353,19.869675617563217,23.06672344015572,17.40661007592837,23.81084146825469
quadratic,dDM_over_rd_dz,18.89170843591231,16.225215275151825,21.62726666101318,12.861782251626115,25.535631913785533
quadratic,dDH_over_rd_dz,-9.243485507109718,-20.82938412970748,1.2028955610225647,-33.27714894173651,6.705409802809621
quadratic,d2DM_over_rd_dz2,14.284290236349914,-12.397633745730085,36.25588703730468,-65.22491950122564,64.05442246751042
quadratic,d2DH_over_rd_dz2,-6.617326022772684,-76.05743166722894,70.48542274094538,-125.99191715891658,127.32122752844255
