order,ell,s_Mpc_h,s2_measurement,s2_jackknife_sigma,s2_model
0.000000000000000000e+00,0.000000000000000000e+00,5.200000000000000000e+01,4.811181287826667585e+01,2.249848156393203347e+00,4.863867241556962995e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,4.040402506143711037e+01,2.711859602639326017e+00,3.929341616100866474e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.800000000000000000e+01,3.386598461880549138e+01,3.165185614134099712e+00,3.087686619235818597e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.600000000000000000e+01,2.404509976022802675e+01,3.667821295143385729e+00,2.329137322777950203e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.400000000000000000e+01,1.664572800334767066e+01,3.732994751405557476e+00,1.942521611728829356e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.200000000000000000e+01,2.302973976089027985e+01,4.206010138247636476e+00,2.462602345141067772e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,3.403161993176058076e+01,4.705518538796765959e+00,3.445733165562374012e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.080000000000000000e+02,2.932138911884514698e+01,4.917730799489763882e+00,3.151457840425759827e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.160000000000000000e+02,1.357001715086713389e+01,4.986371369742550463e+00,1.514696911029521331e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.240000000000000000e+02,-4.259593907656929801e+00,5.129804108250709760e+00,-1.451546368227362382e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.320000000000000000e+02,-1.994536334121355381e+01,6.221233247729434090e+00,-1.228949642296727873e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+02,-2.186308874604854680e+01,6.747433434821660470e+00,-1.856410824109800473e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.480000000000000000e+02,-2.149018137871064837e+01,7.201315169706471231e+00,-2.230789642003730933e+01
0.000000000000000000e+00,2.000000000000000000e+00,5.200000000000000000e+01,-7.928320279662345627e+01,3.857457363912575321e+00,-7.953277945727249687e+01
0.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+01,-7.377458082998899158e+01,4.957148853987657589e+00,-7.839296598008752426e+01
0.000000000000000000e+00,2.000000000000000000e+00,6.800000000000000000e+01,-7.463411443860404404e+01,5.521162175430953667e+00,-7.688337574595227863e+01
0.000000000000000000e+00,2.000000000000000000e+00,7.600000000000000000e+01,-7.342019536988370021e+01,6.111827225511541783e+00,-7.415373943339247376e+01
0.000000000000000000e+00,2.000000000000000000e+00,8.400000000000000000e+01,-6.618972451765608866e+01,7.688197341462728929e+00,-6.832607266991786332e+01
0.000000000000000000e+00,2.000000000000000000e+00,9.200000000000000000e+01,-6.170801745612782696e+01,9.223904574071122298e+00,-6.356647351108908595e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+02,-7.164108059057387834e+01,1.018271523570744996e+01,-6.853002365265149365e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.080000000000000000e+02,-7.190964163180619551e+01,1.188121268793934782e+01,-7.532758310322515172e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.160000000000000000e+02,-7.360095179934417331e+01,1.300648422856345299e+01,-7.421332333030719042e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.240000000000000000e+02,-7.785990968685729285e+01,1.414426476627219564e+01,-6.909622607827378715e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.320000000000000000e+02,-7.322518726858807270e+01,1.433718847932635043e+01,-6.425604746452461313e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.400000000000000000e+02,-5.376500086485395968e+01,1.648458599392694879e+01,-6.042753370521720058e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.480000000000000000e+02,-6.458583003123209210e+01,1.656020802945563020e+01,-5.734415131867245208e+01
1.000000000000000000e+00,0.000000000000000000e+00,5.200000000000000000e+01,-1.662904387767729020e+01,1.207036564683923352e+01,-2.366849431448495977e+01
1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,-1.657376353198158725e+01,1.415532977332459375e+01,-1.116953340422540464e+01
1.000000000000000000e+00,0.000000000000000000e+00,6.800000000000000000e+01,1.493128872130783158e+01,1.640808771797506438e+01,1.010688465156546201e-01
1.000000000000000000e+00,0.000000000000000000e+00,7.600000000000000000e+01,2.212858216930289146e+01,1.771050754875417610e+01,1.086600925766268944e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.400000000000000000e+01,2.579607312328528934e+01,2.096825591922766918e+01,2.449784347889285385e+01
1.000000000000000000e+00,0.000000000000000000e+00,9.200000000000000000e+01,4.965695532915638921e+01,2.424669651947271376e+01,4.067222890614289099e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,6.398893814123266566e+01,2.742841612693371189e+01,4.384799465646189276e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.080000000000000000e+02,3.468756897110561965e+01,3.143511904595190387e+01,3.314853871878597857e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.160000000000000000e+02,3.916220546937816493e+01,3.419944200167993387e+01,2.903754024598972450e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.240000000000000000e+02,6.227399325337866287e+01,3.420505409886926174e+01,3.361956377676621344e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.320000000000000000e+02,6.476805201939542656e+01,3.649237019033934359e+01,3.858781533002283481e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+02,7.086691171838461401e+01,4.129902484802136087e+01,4.051152595538204793e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.480000000000000000e+02,1.673889258898349652e+01,4.027097962647743401e+01,3.940079195476615581e+01
1.000000000000000000e+00,2.000000000000000000e+00,5.200000000000000000e+01,1.115456286786682583e+01,2.281610446152009786e+01,2.120914436830175731e+01
1.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+01,4.154463543156609262e+01,2.431754336797531124e+01,3.695401950505080890e+01
1.000000000000000000e+00,2.000000000000000000e+00,6.800000000000000000e+01,3.593143452631657908e+01,3.518390069476166815e+01,4.883590405828726944e+01
