# DM_over_rd,DH_over_rd,dDM_over_rd_dz,dDH_over_rd_dz,d2DM_over_rd_dz2,d2DH_over_rd_dz2
1.247090517695377404e-01,-1.239747740411107635e-01,-7.146138915829226834e-02,4.465988069987728570e-01,-5.224346233757531932e-01,-4.069455139153649870e-01
-1.239747740411107635e-01,4.221695294220760286e-01,8.646119338358483619e-02,-1.038360080765142968e+00,5.548585448050382674e-01,9.606997463352788813e-01
-7.146138915829226834e-02,8.646119338358483619e-02,6.244975664523518155e+00,-5.669480953129300893e+00,1.345121358008010759e+01,5.026666033378341503e+00
4.465988069987728570e-01,-1.038360080765142968e+00,-5.669480953129300893e+00,2.526450593789495613e+01,-1.337011665941925109e+01,-2.236582883379715270e+01
-5.224346233757531932e-01,5.548585448050382674e-01,1.345121358008010759e+01,-1.337011665941925109e+01,3.047995240186855526e+01,1.227157977750013806e+01
-4.069455139153649870e-01,9.606997463352788813e-01,5.026666033378341503e+00,-2.236582883379715270e+01,1.227157977750013806e+01,2.416762756189454819e+01
