# DM_over_rd,DH_over_rd,dDM_over_rd_dz,dDH_over_rd_dz,d2DM_over_rd_dz2,d2DH_over_rd_dz2
2.240787072390503509e-01,-2.336703671843561314e-01,1.889222162252931214e-01,3.074685886800258006e-01,-6.759794591903609984e+00,7.113012262444319944e+00
-2.336703671843561314e-01,1.100625355190016252e+00,-2.419773136070573760e-01,-8.479141331612501942e-01,7.970070086159077860e+00,-3.890164000184234538e+01
1.889222162252931214e-01,-2.419773136070573760e-01,3.206153439343201850e+00,-2.354838353845953414e+00,5.342906953506553203e-01,1.245840237646403459e+01
3.074685886800258006e-01,-8.479141331612501942e-01,-2.354838353845953414e+00,1.231759469331216117e+01,-1.044494430007559771e+01,-1.920658825061746899e+00
-6.759794591903609984e+00,7.970070086159077860e+00,5.342906953506553203e-01,-1.044494430007559771e+01,4.231696696184026791e+02,-4.573270520015990428e+02
7.113012262444319944e+00,-3.890164000184234538e+01,1.245840237646403459e+01,-1.920658825061746899e+00,-4.573270520015990428e+02,2.269348715388498476e+03
