z,DM_over_rd,DM_over_rd_jk_sigma,DH_over_rd,DH_over_rd_jk_sigma,dDM_over_rd_dz,dDM_over_rd_dz_jk_sigma,dDH_over_rd_dz,dDH_over_rd_dz_jk_sigma,d2DM_over_rd_dz2,d2DM_over_rd_dz2_jk_sigma,d2DH_over_rd_dz2,d2DH_over_rd_dz2_jk_sigma,S2,S2_formal_sigma,S1_pivot,S1_pivot_formal_sigma,S0_pivot,S0_pivot_formal_sigma
6.022222222222222143e-01,1.474429699954757211e+01,2.814530813061694725e-01,2.227606343209791362e+01,6.805359573071724233e-01,1.654851310265471298e+01,1.829249663651713043e+00,-3.437082749295916173e+00,5.367689125861088151e+00,8.907126433177003477e+00,7.182708225972469052e+00,-6.057352845237245020e+01,3.345219516788745295e+01,-2.774571303451951021e+00,5.821244125984311735e-01,2.132127029999452361e+00,6.881014286034100591e-01,8.121579946545459672e-01,1.130798765660879640e-01
6.061111111111111560e-01,1.480872091107940491e+01,2.818969741084397240e-01,2.226223934735870813e+01,6.819294435077322136e-01,1.658410038257171948e+01,1.808265509027161100e+00,-3.672345454179992252e+00,5.250951926652752455e+00,9.394679280251573061e+00,7.300832826728893998e+00,-6.041756015955817105e+01,3.354085298947124727e+01,-2.803278949653935648e+00,5.921162531003700824e-01,2.104568634868207333e+00,6.704775613457932826e-01,8.227176855870259597e-01,1.066696959412234275e-01
6.100000000000000977e-01,1.487328690118913777e+01,2.824659923815056595e-01,2.224750154900356236e+01,6.837160402084619948e-01,1.662158114557279021e+01,1.787056492423780618e+00,-3.906988111782899509e+00,5.134437808668085523e+00,9.880932338442084628e+00,7.419096218234310314e+00,-6.025465343884102509e+01,3.362149219431503155e+01,-2.833279020212055244e+00,6.029313390467720968e-01,2.076989509018070557e+00,6.529259447026843910e-01,8.329178065040941936e-01,1.004854218337677824e-01
6.138888888888889284e-01,1.493800232381194526e+01,2.831527805815512444e-01,2.223185250069573726e+01,6.858528602211090286e-01,1.666095050668439725e+01,1.765638228938683829e+00,-4.140983815291148673e+00,5.018216651831298059e+00,1.036597282525277031e+01,7.537535404775281833e+00,-6.008484755282356105e+01,3.369411700925596165e+01,-2.864638707976840948e+00,6.146278517048346934e-01,2.049381998286119000e+00,6.354387048468813637e-01,8.427643108601170496e-01,9.452254455938607913e-02
6.177777777777777590e-01,1.500287451454412135e+01,2.839498697688713769e-01,2.221529477043625533e+01,6.882979659806749417e-01,1.670220391911803759e+01,1.744027225234979328e+00,-4.374305812865739718e+00,4.902361624951646846e+00,1.084988745036897662e+01,7.656188331288394266e+00,-5.990818293826417573e+01,3.375873416758098955e+01,-2.897429774560368543e+00,6.272686976914332302e-01,2.021738396134294291e+00,6.180079627293109112e-01,8.522629814435658258e-01,8.877671102346654242e-02
6.216666666666667007e-01,1.506791079195445526e+01,2.848497162921025949e-01,2.219783102995234358e+01,6.910105788082946399e-01,1.674533717233531860e+01,1.722240971760621964e+00,-4.606927512187222185e+00,4.786949511319548378e+00,1.133276243615678958e+01,7.775093783219209520e+00,-5.972470119521366172e+01,3.381535289087597818e+01,-2.931728945449392221e+00,6.409219934535538288e-01,1.994050940155352558e+00,6.006258295981514728e-01,8.614194344264904935e-01,8.324372010212229001e-02
6.255555555555556424e-01,1.513311845888822837e+01,2.858447383614377002e-01,2.217946405406834742e+01,6.939512503929793352e-01,1.679034639019242547e+01,1.700298042624427408e+00,-4.838822484958147818e+00,4.672061070196529720e+00,1.181468353799811410e+01,7.894291298801754841e+00,-5.953444507590685220e+01,3.386398487067091878e+01,-2.967618346837555432e+00,6.556616123260722295e-01,1.966311808537498207e+00,5.832844025596884974e-01,8.702391232878903260e-01,7.791951854430960445e-02
6.294444444444444731e-01,1.519850480376416080e+01,2.869273502214809146e-01,2.216019672005913321e+01,6.970819984320608675e-01,1.683722802916332384e+01,1.678218203670454933e+00,-5.069964471361718239e+00,4.557781437650707090e+00,1.229573606446748357e+01,8.013821092284441505e+00,-5.933745847341144497e+01,3.390464424985466252e+01,-3.005185989408007519e+00,6.715678050884148487e-01,1.938513116485527377e+00,5.659757602256498821e-01,8.787273426146589017e-01,7.280019726314740369e-02
6.333333333333334147e-01,1.526407710186460243e+01,2.880899937169578706e-01,2.214003200698634544e+01,7.003664091067630659e-01,1.688597887664122510e+01,1.656022529285499090e+00,-5.300327384475995274e+00,4.444200570286980678e+00,1.277600489735617906e+01,8.133723986820131202e+00,-5.913378641003707514e+01,3.393734760383445348e+01,-3.044526305061181493e+00,6.887279029629231886e-01,1.910646912596204228e+00,5.486919578144729970e-01,8.868892317837779871e-01,6.788198689197445790e-02
6.372222222222222454e-01,1.532984261661927050e+01,2.893251671220949950e-01,2.211897299501746517e+01,7.037697095520731860e-01,1.693659604931746898e+01,1.633733528451661643e+00,-5.529885314642373650e+00,4.331413735413674360e+00,1.325557451154976185e+01,8.254041355903323662e+00,-5.892347502550703808e+01,3.396211392141955088e+01,-3.085740743473483150e+00,7.072371172671730877e-01,1.882705175185634294e+00,5.314250227051779962e-01,8.947297785291452588e-01,6.316125390589590050e-02
6.411111111111111871e-01,1.539580860088283920e+01,2.906254511753181280e-01,2.209702286472811394e+01,7.072588137413599041e-01,1.698907699163765628e+01,1.611375280511201602e+00,-5.758612533787788479e+00,4.219522051023525400e+00,1.373452899476474443e+01,8.374815072378877900e+00,-5.870657156489566120e+01,3.397896458541082865e+01,-3.128938436415467095e+00,7.271994505067728154e-01,1.854679808566262356e+00,5.141669504389594358e-01,9.022538223964950976e-01,5.863449833783786203e-02
