# z,DM,sDM,DH,sDH,r     (all distances are divided by r_d)
0.510,13.62,0.25,20.98,0.61,-0.445
0.710,16.85,0.32,20.08,0.60,-0.420
0.930,21.71,0.28,17.88,0.35,-0.389
1.32,27.79,0.69,13.82,0.42,-0.444
2.33,39.71,0.95,8.52,0.17,-0.48
